year,month,day,hour,open,high,low,close,adj close
2019,9,5,19,6294.283203,6307.348145,6281.954102,6306.803223,6306.803223
2019,9,6,19,6329.412109,6336.912109,6305.01709,6308.950195,6308.950195
2019,9,9,19,6328.282227,6333.896973,6306.73584,6326.212891,6326.212891
2019,9,10,19,6331.726074,6342.005859,6311.34082,6336.672852,6336.672852
2019,9,11,19,6334.591797,6381.954102,6328.687988,6381.954102,6381.954102
2019,9,12,19,6398.995117,6414.483887,6337.523926,6342.173828,6342.173828
2019,9,13,19,6369.422852,6375.804199,6318.919922,6334.842773,6334.842773
2019,9,16,19,6262.288086,6266.140137,6193.513184,6219.435059,6219.435059
2019,9,17,19,6215.236816,6240.348145,6205.301758,6236.689941,6236.689941
2019,9,18,19,6238.705078,6276.632813,6236.476074,6276.632813,6276.632813
2019,9,19,19,6274.178223,6282.062988,6242.893066,6244.470215,6244.470215
2019,9,20,19,6248.974121,6256.821777,6213.243164,6231.473145,6231.473145
2019,9,23,19,6240.144043,6247.577148,6197.388184,6206.199219,6206.199219
2019,9,24,19,6188.769043,6194.589844,6115.950195,6137.60791,6137.60791
2019,9,25,19,6121.490234,6146.403809,6086.001953,6146.403809,6146.403809
2019,9,26,19,6168.667969,6230.333984,6165.925781,6230.333984,6230.333984
2019,9,27,19,6213.932129,6219.77002,6191.664063,6196.88916,6196.88916
2019,9,30,19,6190.37207,6195.728027,6152.496094,6169.102051,6169.102051
2019,10,1,19,6163.979004,6176.605957,6134.77002,6138.25,6138.25
2019,10,2,19,6124.442871,6153.996094,6051.687988,6055.424805,6055.424805
2019,10,3,19,6033.026855,6050.604004,5997.691895,6038.528809,6038.528809
2019,10,4,19,6052.74707,6076.560059,6046.129883,6061.251953,6061.251953
2019,10,7,19,6077.740234,6084.165039,5988.87207,6000.582031,6000.582031
2019,10,8,19,6021.692871,6046.458008,6009.381836,6039.601074,6039.601074
2019,10,9,19,6030.458984,6047.792969,6017.359863,6029.160156,6029.160156
2019,10,10,19,6023.976074,6044.11377,6018.445801,6023.641113,6023.641113
2019,10,11,19,6033.321777,6109.118164,6033.321777,6105.799805,6105.799805
2019,10,14,19,6129.233887,6153.578125,6099.23877,6126.876953,6126.876953
2019,10,15,19,6130.299805,6158.166016,6118.262207,6158.166016,6158.166016
2019,10,16,19,6170.562012,6183.583984,6143.846191,6169.591797,6169.591797
2019,10,17,19,6169.903809,6197.935059,6161.39209,6181.01416,6181.01416
2019,10,18,19,6185.214844,6201.174805,6178.498047,6191.946777,6191.946777
2019,10,21,19,6207.88916,6228.227051,6187.36084,6198.986816,6198.986816
2019,10,22,19,6207.492188,6229.398926,6178.555176,6225.49707,6225.49707
2019,10,23,19,6224.417969,6257.806152,6197.954102,6257.806152,6257.806152
2019,10,24,19,6271.51416,6339.646973,6270.186035,6339.646973,6339.646973
2019,10,25,19,6342.608887,6348.314941,6243.246094,6252.345215,6252.345215
2019,10,28,19,6256.790039,6278.163086,6243.349121,6265.383789,6265.383789
2019,10,29,19,6267.680176,6281.138184,6245.937988,6281.138184,6281.138184
2019,10,30,19,6302.087891,6304.049805,6264.938965,6295.74707,6295.74707
2019,10,31,19,6290.566895,6301.592773,6216.290039,6228.316895,6228.316895
2019,11,1,19,6225.814941,6228.411133,6193.887207,6207.190918,6207.190918
